"","ID","Strain","Condition","cond_clusters","PC1","PC2"
"1","6850_B10.1","Strain6850","supernatant",2,-0.380631161383268,-0.225071628476344
"2","6850_B10.2","Strain6850","supernatant",2,-0.295485648651696,0.903761634060052
"3","6850_B10.3","Strain6850","supernatant",2,-0.636985623897894,0.0326528336684497
"4","6850_B10.4","Strain6850","supernatant",2,-0.175685976316328,0.683742165748181
"5","6850_B10.5","Strain6850","supernatant",2,-0.578007333718289,0.00883909063114974
"6","6850_B2.1","Strain6850","supernatant",2,-0.61588753480854,-0.06934474257601
"7","6850_B2.2","Strain6850","supernatant",2,-0.569174186436669,-0.240293919400364
"8","6850_B2.3","Strain6850","supernatant",2,-0.390950704954708,-0.245631385505283
"9","6850_B2.4","Strain6850","supernatant",2,-0.64097059023531,-0.185977563953758
"10","6850_B2.5","Strain6850","supernatant",2,-0.82415859135123,-0.050509685164625
"11","6850_B4.1","Strain6850","supernatant",2,-0.315472641446392,0.881219484551031
"12","6850_B4.2","Strain6850","supernatant",2,-0.583109642480816,-0.00252706827257254
"13","6850_B4.3","Strain6850","supernatant",2,-0.225302819400222,0.751443996885228
"14","6850_B4.4","Strain6850","supernatant",2,-0.194030643407708,0.685255029858134
"15","6850_B4.5","Strain6850","supernatant",2,-0.496268699074028,-0.134378407492326
"16","6850_B8.1","Strain6850","supernatant",2,-0.880902119735982,-0.00495519992230159
"17","6850_B8.2","Strain6850","supernatant",2,-1.13594411403439,-0.0911124817010086
"18","6850_B8.3","Strain6850","supernatant",2,-0.703219513220663,-0.202298616050914
"19","6850_B8.4","Strain6850","supernatant",2,-0.817310049058631,-0.110892446601724
"20","6850_B8.5","Strain6850","supernatant",2,-0.786813390776534,-0.168392822166584
"21","6850_D4.1","Strain6850","supernatant",2,-0.931159544529463,-0.0367090479034814
"22","6850_D4.2","Strain6850","supernatant",2,-1.02815027022111,0.0274332433145709
"23","6850_D4.3","Strain6850","supernatant",2,-0.810055901337218,-0.0870587534885909
"24","6850_D4.4","Strain6850","supernatant",2,-0.82441681757036,0.917227330344662
"25","6850_D4.5","Strain6850","supernatant",2,-0.761654632373916,-0.143021530815646
"26","6850_F10.3","Strain6850","TSB",1,-0.398093437077638,-0.472028932047259
"27","6850_F2.2","Strain6850","TSB",1,-0.538420780867151,-0.361241822161531
"28","6850_F2.5","Strain6850","TSB",1,-0.453631324940832,-0.229715183729227
"29","6850_F4.1","Strain6850","TSB",1,-0.418424895649382,-0.486330998466667
"30","6850_F4.2","Strain6850","TSB",1,-0.572808838357198,-0.265017964215485
"31","6850_F4.3","Strain6850","TSB",1,-0.372355181987981,-0.420056578365622
"32","6850_F4.4","Strain6850","TSB",1,-0.623692772288751,-0.27031209981663
"33","6850_F4.5","Strain6850","TSB",1,-0.45044942564151,-0.404135010548583
